,PC1,PC2,PC3,PC4,PC5
VAL_r4,-0.024590885774105578,0.20434619115171337,0.10247067725069489,0.05969732738888931,0.00898176635371948
ARO_r1,0.08995509088947494,-0.0733443061944617,0.001988967384745243,-0.008307552061852328,0.04807628216374154
ARO_r2,0.0954704099465604,-0.08881427017426213,0.012928028999427237,-0.01777812762888593,0.030967031106132387
ARO_r3,0.1253120925187679,-0.061562832043923446,-0.0077705542531501005,-0.006919357216473819,0.01623690017513082
ARO_r4,0.11792511705534028,-0.040935346815584396,0.006376811768948576,-0.00029677213579155785,0.02363573116090671
BIZ_r1,0.10715956735651512,-0.010375744854858126,-0.033603540969539124,-0.007514526929560423,-0.025137071509127463
BIZ_r2,0.09698466421215,-0.0030008626770746875,-0.04362782230425656,-0.01437501723416579,-0.03756617898476227
BIZ_r3,0.11366877065340936,0.01253649852487314,-0.04492953935189151,-0.0202433524274567,-0.022284049568254936
BIZ_r4,0.12459395537157097,0.009761563867210967,-0.02643868400127031,-0.022663648696354764,-0.0023556098878620233
SOC_r1,0.0947608438665101,-0.019029695809861358,0.1942093457923414,0.015222428667888078,0.056690223333727564
SOC_r2,0.0860325771501727,-0.02486211670415387,0.21833744649780248,-0.0007742376818290009,0.06251440844015088
SOC_r3,0.07167972996391535,-0.032866115248960534,0.2096377023093227,0.00562833970372107,0.05025308289504654
SOC_r4,0.1017274909438584,-0.01932186855882135,0.20186687977597453,0.004658198582584193,0.044421770553386024
MOV_r1,0.10791489560961434,0.07153112575250459,-0.042777534037825554,-0.004400007545828529,-0.03156931642569184
MOV_r2,0.09621426697576631,0.07605877797769167,-0.07993613582803916,0.0259651220169381,0.014045770477610525
MOV_r3,0.0783900592662716,0.054254952302104247,-0.09304891257249065,0.004082356625890475,0.028667555561185196
MOV_r4,0.09038129253964611,0.04756203517259876,-0.09019126144850458,-0.00470747434718047,-0.0021564728689302186
SPA_r1,0.10894715875575123,0.08662717424424266,0.011234942367378997,-0.04085638552668472,-0.029001969769168565
SPA_r2,0.11619030574760426,0.10887356488259436,-0.016450297400068304,-0.050945184609798126,-0.07179911698276853
SPA_r3,0.09651606848005442,0.10392717650383168,-0.0315792273159364,-0.07022612090238665,-0.07478196706426264
