,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
BIZ_r1,0.1071548088716949,-0.010443543285254311,-0.03371511184335043,-0.007464441239990498,-0.025321878881442446,-0.06181961694781498,-0.018232902009347525,-0.039738851960748466,-0.038653095176441124,0.21264721084485733
BIZ_r2,0.09696842046523022,-0.0031254702337747188,-0.04379077005681741,-0.014236461690850175,-0.037801725389389494,-0.08272586191983519,0.012123175376437664,-0.02137446515595708,-0.0317145447252777,0.2850658656139355
BIZ_r3,0.11365517665510541,0.012451496370246798,-0.045033539294682984,-0.02015498060175271,-0.022474519299121833,-0.0908019044320027,-0.02497086636760437,0.025837292325102908,-0.047326093829175304,0.24363822975763993
BIZ_r4,0.12459216538240347,0.009724640224993671,-0.026484643939943212,-0.022659207285531193,-0.002483899728854372,-0.08084739431534148,-0.01162911806280724,-0.0035769179320594975,-0.017321972241436175,0.22129517218399852
SOC_r1,0.09476007863200547,-0.01928848992907958,0.19423651136115755,0.015135838199994287,0.056836108160245744,0.042298305985058286,-0.01110818799256872,0.02411573755094921,0.0052634133994128255,0.002204746034333605
SOC_r2,0.08603809132754299,-0.02511356941740814,0.21838768089104357,-0.0009026961920323143,0.06275411291276578,0.03977939054759896,-0.03233021828865301,0.03835111915216768,-0.027831189744179252,0.02416380986762072
SOC_r3,0.07168037219052878,-0.03315477388864128,0.2096380295605277,0.005535435975592706,0.05043380040016786,0.04718800752861028,-0.056179289963037525,0.03581197589716893,-0.039889466108904044,0.07008083133451498
SOC_r4,0.10172706256236246,-0.019529852328656123,0.2019155751261911,0.0046177289478923035,0.044686083561946845,0.03204748030420942,-0.024139920818846458,0.016573489912735138,-0.024522238846454446,0.05887443079319609
MOV_r1,0.1079074578378363,0.07165799388313224,-0.04261461439627413,-0.004452657242695264,-0.03146604281660738,0.12624424384168786,-0.07844844494458512,-0.04985631947868252,-0.07627207271676749,-0.048023189537166625
MOV_r2,0.09620096152829732,0.07625492730388482,-0.07978914744589038,0.02608778287510308,0.014082991016849549,0.14906797119470366,-0.07010286887233307,0.021757621406564925,-0.06591217692974845,-0.025615174728232028
MOV_r3,0.07838600063099421,0.0544813470562359,-0.09294178976847926,0.004222013675660049,0.028739556806045136,0.15886700619766692,-0.06927417636256306,0.04523852817250047,-0.02160730558033052,-0.03155411986041594
MOV_r4,0.09037611509591571,0.04768860515366578,-0.09013419261755522,-0.004664838781680403,-0.0021871024599814676,0.1618601554608897,-0.09008352514239794,0.024755142470661896,-0.032968870367858845,-0.004350040131010974
SPA_r1,0.1089597333763585,0.08672729709759754,0.0115225203224594,-0.041267520990431836,-0.028894981389264492,-0.07075291807721298,0.012813413536221549,-0.02708745787135324,0.07947633144999046,-0.13240390425649487
SPA_r2,0.11619159366375596,0.10901084666291008,-0.016151189097308505,-0.05127484710699316,-0.07163353672242928,-0.07155933662982403,0.011747100542362403,-0.024523784120259212,0.015132840583911341,-0.15442894756983894
SPA_r3,0.09651817698451448,0.10405331411926139,-0.03131294216401611,-0.07055788499147518,-0.07462228208379879,-0.06795306481781092,-0.010701285708616977,-0.017683602554695806,0.0780867784178103,-0.1380910689207224
SPA_r4,0.12067476109434006,0.07159035912608784,0.0030178924685074155,-0.05434047820378778,-0.04381761194099942,-0.05139315167208681,-0.009247935125902836,-0.0074500040643333725,0.07178006455870481,-0.11775837752707574
SET_r1,0.13151546159803784,0.04721896465288647,0.020917191486151853,-0.004351930776781643,-0.035289668191755635,-0.004262744316224927,-0.002666911846537526,-0.11541240614647894,-0.1150535721818112,-0.00402342673986641
SET_r2,0.10570241323292012,0.051690617597414286,0.026257829315900965,0.012654520660610295,-0.045403908244540624,-0.025843712147094428,0.0028525434690589197,-0.14848255503712895,-0.15437252837432835,0.056740456967320003
SET_r3,0.11429694503887858,0.05711003829590606,-0.011432036022620684,-0.014422809506162407,-0.07905692584982837,0.042283272417615814,-0.02951188173009227,-0.10797825116411454,-0.10880530618311281,0.02817326645588652
SET_r4,0.12376921699119613,0.06267833148407319,0.005885769126501565,-0.0071867287428026005,-0.05196166406998614,0.023067588270647962,-0.007444150803008252,-0.14038729194962155,-0.13322376642883024,0.0016249405124833102
TIM_r1,0.11724202207245195,0.050629609532193684,0.029771025961721514,0.012815038847672298,-0.022047946607669722,-0.007102379925351791,0.006609713349203356,-0.0787399019685083,-0.09917751876280154,0.010181402506420401
TIM_r2,0.12466193493517531,0.026212316591614243,0.03912935194785021,0.02010669140184177,-0.007859010098247656,0.02684634391715218,0.055907394870181495,-0.11895689834804704,-0.0858057034305863,-0.009157612547518236
TIM_r3,0.09718867343295817,0.011015266700160817,0.02257792678062314,0.03120846488916982,-0.036948721091911246,0.014743146163911288,0.018203090552455916,-0.08996560480630723,-0.08000229329160378,0.015783229916198554
TIM_r4,0.1303426890036202,0.005239329751416853,0.04531376423058358,0.02531015722337603,-0.015240401428377837,0.00705477033330346,0.02520709133772599,-0.06893908607919814,-0.006479056482586856,0.01610505400965397
BOD_r1,0.036316033100909924,-0.018066943242451925,0.006680075919717436,0.08737472541817362,0.2060279355613677,-0.09008903375240598,-0.04964501853055503,-0.20642323355238257,0.09006477429937641,-0.092650801680146
BOD_r2,0.0649425350734543,-0.051155158045893157,-0.004279583204899601,0.10883174569481695,0.22483584751591454,-0.12660095882396993,-0.0461655776585179,-0.15876603816195387,0.06545598793021505,-0.010344179084637537
BOD_r3,0.03753506702421941,-0.04867264088908669,-0.03220994322198263,0.08110939615466095,0.21123049283411752,-0.11118037821323734,-0.031209301223406375,-0.16038974467894046,0.06672616428318988,-0.016858714577830947
BOD_r4,0.021425702900811895,-0.013597746626624548,0.005370349814797935,0.09973472089362163,0.16869459882785678,-0.07367208860344948,-0.03445569102722879,-0.23591953516515954,0.10543226050506115,-0.052990516772517364
LIM_r1,0.06622865665018789,-0.044033051839403405,-0.042776817265529184,-0.021781967608708454,-0.017740083165171113,0.054290664327009124,-0.009441526575814374,-0.043646812471886606,-0.04389147240044849,-0.14255558373056182
LIM_r2,0.09001139842948286,-0.05974525919497527,-0.06286924405184244,-0.04904277513315685,-0.02479901190157106,0.05683318657887919,-0.03847126300892625,-0.03914657210918473,-0.04565608198280701,-0.07330388530165577
LIM_r3,0.06127779359353547,-0.057030084309775825,-0.039377297108848845,-0.032903395611381746,-0.02209498609236304,0.0822133609695369,-0.045814572191679566,-0.026893352670177544,-0.09627228147127323,-0.13350285265520756
LIM_r4,0.08548805625428459,-0.10392311902158807,-0.07026201933860562,-0.053686753370391915,-0.0030845806186563587,0.08013815104313846,-0.038791888794769545,-0.019858371196321115,-0.008872933423105314,-0.10574251368905033
ACT_r1,0.08695925347407513,-0.016221304032333166,0.01502202826834723,0.1126857147999598,0.010886440284697395,0.14112715198784165,0.11504792470807679,-0.015281333873687596,0.07280253934902009,-0.04246197961041299
ACT_r2,0.045324708768785416,0.07387237881704023,-0.07250621339791471,0.0790413115406456,-0.04158343409275887,0.21644664498493885,0.10551207092194587,-0.032617057117068894,0.1748704305624487,-0.005083741399038276
ACT_r3,0.05066770979991891,0.07842095482623306,-0.06642250097341067,0.06947535032707754,-0.025026577704266872,0.19741833325772626,0.05045458959499425,-0.01773096723098061,0.16283976378319448,0.011746538596647708
